name,weight,d,bf,tw,tf,h,d_linha,ag,ix,wx,rx,zx,iy,wy,ry,zy,rt,it,Cw
"W 250 x 115,0 (H)",115,269,259,"13,5","22,1",225,201,"146,1",18920,"1406,7","11,4","1597,4",6405,"494,6","6,6","752,7","7,2",212,975265
"W 310 x 21,0",21,303,101,"5,1","5,7",292,272,"27,2",3776,"249,2","11,8","291,9",98,"19,5","1,9","31,4","2,4","3,3",21628
"W 310 x 23,8",24,305,101,"5,6","6,7",292,272,"30,7",4346,285,"11,9","333,2",116,"22,9","1,9","36,9","2,5","4,7",25594
"W 310 x 28,3",28,309,102,6,"8,9",291,271,"36,5",5500,356,"12,3",412,158,31,"2,1","49,4","2,6","8,1",35441
"W 310 x 32,7",33,313,102,"6,6","10,8",291,271,"42,1",6570,"419,8","12,5","485,3",192,"37,6","2,1","59,8","2,6","12,9",43612
"W 310 x 38,7",39,310,165,"5,8","9,7",291,271,"49,7",8581,"553,6","13,1","615,4",727,"88,1","3,8","134,9","4,4","13,2",163728
"W 310 x 44,5",45,313,166,"6,6","11,2",291,271,"57,2",9997,"638,8","13,2","712,8",855,103,"3,9",158,"4,4","19,9",194433
"W 310 x 52,0",52,317,167,"7,6","13,2",291,271,67,11909,"751,4","13,3","842,5",1026,"122,9","3,9","188,8","4,5","31,8",236422
"HP 310 x 79,0 (H)",79,299,306,11,11,277,245,100,16316,"1091,3","12,8","1210,1",5258,"343,7","7,3","525,4","8,2","46,7",1089258
"HP 310 x 93,0 (H)",93,303,308,"13,1","13,1",277,245,"119,2",19682,"1299,1","12,9","1450,3",6387,"414,7","7,3","635,5","8,3","77,3",1340320
"W 310 x 97,0 (H)",97,308,305,"9,9","15,4",277,245,"123,6",22284,1447,"13,4","1594,2",7286,"477,8","7,7",725,"8,4","92,1",1558682
"W 310 x 107,0 (H)",107,311,306,"10,9",17,277,245,"136,4",24839,"1597,3","13,5","1768,2",8123,"530,9","7,7","806,1","8,4","122,9",1754271
"HP 310 x 110,0 (H)",110,308,310,"15,4","15,5",277,245,141,23703,"1539,1",13,"1730,6",7707,"497,3","7,4","763,7","8,3","125,7",1646104
"W 310 x 117,0 (H)",117,314,307,"11,9","18,7",277,245,"149,9",27563,"1755,6","13,6","1952,6",9024,"587,9","7,8","893,1","8,4","161,6",1965950
